Win,Lose,Draw
0,0,0
369,566,65
410,510,80
385,539,76
397,514,89
402,518,80
370,569,61
422,506,72
395,526,79
404,522,74
413,496,91
385,528,87
406,517,77
393,525,82
392,541,67
400,518,82
395,528,77
414,494,92
399,518,83
411,509,80
409,506,85
401,517,82
400,527,73
414,503,83
418,510,72
413,497,90
411,523,66
405,527,68
377,537,86
422,504,74
432,476,92
416,516,68
407,492,101
409,510,81
403,513,84
409,494,97
430,495,75
435,484,81
415,508,77
377,552,71
413,495,92
389,520,91
396,526,78
407,502,91
411,504,85
385,528,87
422,501,77
420,492,88
392,537,71
414,501,85
431,489,80
368,558,74
442,484,74
421,504,75
404,526,70
450,482,68
416,509,75
423,505,72
396,524,80
413,505,82
427,490,83
436,488,76
421,509,70
399,527,74
373,538,89
419,505,76
407,522,71
411,513,76
392,536,72
401,536,63
378,543,79
435,474,91
390,508,102
404,521,75
417,501,82
408,521,71
437,480,83
409,516,75
414,507,79
408,511,81
402,509,89
423,518,59
399,531,70
426,489,85
394,535,71
391,517,92
400,538,62
424,499,77
428,490,82
383,543,74
403,508,89
440,481,79
447,481,72
429,509,62
381,517,102
439,495,66
402,526,72
390,520,90
404,516,80
393,516,91
430,493,77
402,521,77
387,519,94
424,503,73
404,522,74
436,480,84
431,480,89
403,502,95
431,487,82
402,518,80
397,519,84
447,475,78
424,500,76
373,545,82
386,535,79
393,521,86
377,536,87
393,532,75
382,543,75
434,473,93
399,514,87
417,510,73
400,536,64
405,524,71
421,502,77
398,530,72
409,496,95
409,516,75
416,496,88
384,543,73
413,504,83
407,504,89
390,534,76
400,519,81
407,532,61
428,504,68
378,548,74
410,512,78
398,525,77
401,508,91
389,535,76
439,486,75
421,498,81
420,504,76
387,531,82
427,479,94
425,516,59
411,522,67
422,488,90
402,516,82
404,511,85
411,510,79
424,503,73
396,518,86
418,492,90
433,492,75
420,519,61
427,500,73
415,511,74
385,529,86
396,532,72
417,499,84
394,533,73
412,516,72
389,540,71
399,522,79
428,497,75
382,527,91
389,531,80
398,529,73
406,508,86
405,505,90
406,505,89
393,536,71
418,506,76
395,499,106
394,528,78
413,496,91
391,518,91
398,517,85
399,522,79
426,506,68
391,538,71
407,521,72
417,502,81
384,537,79
414,500,86
393,539,68
419,505,76
394,520,86
385,533,82
426,498,76
413,509,78
421,502,77
423,509,68
418,505,77
415,514,71
375,528,97
414,495,91
407,507,86
404,524,72
419,509,72
404,528,68
393,510,97
417,517,66
421,512,67
384,531,85
400,520,80
411,506,83
411,511,78
421,502,77
445,477,78
389,528,83
424,505,71
399,514,87
435,497,68
442,477,81
399,523,78
405,510,85
411,519,70
396,526,78
415,506,79
427,495,78
388,536,76
433,495,72
414,496,90
429,501,70
432,492,76
403,517,80
430,483,87
382,540,78
411,500,89
403,530,67
389,529,82
415,511,74
402,517,81
406,519,75
416,497,87
400,515,85
419,506,75
395,512,93
410,509,81
402,508,90
416,516,68
406,512,82
409,524,67
414,508,78
408,508,84
423,507,70
396,518,86
419,498,83
422,492,86
425,500,75
415,513,72
396,523,81
383,540,77
400,510,90
406,505,89
395,526,79
402,521,77
411,514,75
398,527,75
423,485,92
387,527,86
418,487,95
398,525,77
415,511,74
433,487,80
415,514,71
436,485,79
420,509,71
415,513,72
384,520,96
395,510,95
407,507,86
405,494,101
414,510,76
423,495,82
395,517,88
439,474,87
391,530,79
408,532,60
430,491,79
382,532,86
428,485,87
411,501,88
410,515,75
403,525,72
395,521,84
399,510,91
402,494,104
400,521,79
409,516,75
424,491,85
418,510,72
394,527,79
436,483,81
361,553,86
400,509,91
409,497,94
410,515,75
407,501,92
426,498,76
415,508,77
402,511,87
408,508,84
400,516,84
412,501,87
403,525,72
395,504,101
415,515,70
389,525,86
412,524,64
443,456,101
403,534,63
421,505,74
410,505,85
411,504,85
382,530,88
404,514,82
412,524,64
425,491,84
407,507,86
421,510,69
397,514,89
418,494,88
407,506,87
405,498,97
384,538,78
469,443,88
411,516,73
420,477,103
404,514,82
411,509,80
406,501,93
412,509,79
422,504,74
407,517,76
399,517,84
414,516,70
395,514,91
386,544,70
428,499,73
425,509,66
419,491,90
436,498,66
422,498,80
403,497,100
409,509,82
414,508,78
421,507,72
408,512,80
411,501,88
405,506,89
425,498,77
380,540,80
375,546,79
410,510,80
402,529,69
392,525,83
407,509,84
416,505,79
409,515,76
401,500,99
404,507,89
418,495,87
394,526,80
417,504,79
429,490,81
413,507,80
424,491,85
379,534,87
398,509,93
388,528,84
439,496,65
400,509,91
418,515,67
404,517,79
402,516,82
421,502,77
434,492,74
401,517,82
413,507,80
423,501,76
369,539,92
445,476,79
429,492,79
434,505,61
402,512,86
386,535,79
378,537,85
405,510,85
402,534,64
404,520,76
444,483,73
415,516,69
436,495,69
391,530,79
420,482,98
439,478,83
407,519,74
410,521,69
401,508,91
416,505,79
387,527,86
412,499,89
398,532,70
385,519,96
396,525,79
397,523,80
391,519,90
419,497,84
415,507,78
392,523,85
423,500,77
424,493,83
396,504,100
392,524,84
405,515,80
391,540,69
408,520,72
420,511,69
418,510,72
377,545,78
415,487,98
388,546,66
402,534,64
396,534,70
407,499,94
414,513,73
396,531,73
396,510,94
389,531,80
406,518,76
418,502,80
378,540,82
421,503,76
414,513,73
411,506,83
415,504,81
394,534,72
408,517,75
415,512,73
408,507,85
386,540,74
412,515,73
391,526,83
398,503,99
420,496,84
411,508,81
400,522,78
415,526,59
429,491,80
425,508,67
413,507,80
397,518,85
399,518,83
418,513,69
410,510,80
373,536,91
397,520,83
408,524,68
403,510,87
398,514,88
376,539,85
388,538,74
419,508,73
437,487,76
399,522,79
397,515,88
382,545,73
361,549,90
393,517,90
410,523,67
427,489,84
412,515,73
390,515,95
426,498,76
366,540,94
391,531,78
420,511,69
409,519,72
405,509,86
392,530,78
410,515,75
401,521,78
416,501,83
444,480,76
426,500,74
410,510,80
443,475,82
405,524,71
387,540,73
394,530,76
401,534,65
402,520,78
419,509,72
395,526,79
408,522,70
381,542,77
